slug,url,name,price,area,rooms,build_year,utilities,location,location_lat,location_lon,heating,floor,building_floors,state,market,ownership,ad_type,collage,scrapped_date,luxury_level
3-wymiary-bronowice-ID4v1Ae,https://www.otodom.pl/pl/oferta/3-wymiary-bronowice-ID4v1Ae,3 Wymiary Bronowice,,,0,,"['Miejsce parkingowe podziemne', 'Miejsce parkingowe naziemne', 'Windy']","['Bronowice Wielkie', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.09434,19.90835,,,,,primary,,business,otodom_photos/3-wymiary-bronowice-ID4v1Ae/3-wymiary-bronowice-ID4v1Ae_collage.jpg,2025-05-31,-1.0
klucze-od-razu-4-pokoje-ktore-pokochasz-od-pierwszego-wejrzenia-ID4vCvF,https://www.otodom.pl/pl/oferta/klucze-od-razu-4-pokoje-ktore-pokochasz-od-pierwszego-wejrzenia-ID4vCvF,"❤️ Klucze od razu | 4 pokoje, które pokochasz od pierwszego wejrzenia",1399946.0,80.91,4,2025.0,"['internet', 'telewizja kablowa', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'meble', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'balkon', 'pom. użytkowe', 'garaż/miejsce parkingowe', 'piwnica', 'winda', 'klimatyzacja']","['Piaski Wielkie', 'Podgórze Duchackie', 'Kraków', 'małopolskie']",50.010829902613,19.977431368564,urban,floor_6,7.0,ready_to_use,secondary,full_ownership,business,otodom_photos/klucze-od-razu-4-pokoje-ktore-pokochasz-od-pierwszego-wejrzenia-ID4vCvF/klucze-od-razu-4-pokoje-ktore-pokochasz-od-pierwszego-wejrzenia-ID4vCvF_collage.jpg,2025-05-31,8.0
wislane-tarasy-2-0-bud-c-ID4uatX,https://www.otodom.pl/pl/oferta/wislane-tarasy-2-0-bud-c-ID4uatX,Wiślane Tarasy 2.0 bud. C,873744.0,,0,,"['Miejsce parkingowe podziemne', 'Windy']","['Grzegórzki', 'Grzegórzki', 'Kraków', 'małopolskie']",50.055583269687,19.963902772312,,,,,primary,,business,otodom_photos/wislane-tarasy-2-0-bud-c-ID4uatX/wislane-tarasy-2-0-bud-c-ID4uatX_collage.jpg,2025-05-31,-1.0
mieszkanie-swietne-na-wynajem-pradnik-bialy-ID4vDQk,https://www.otodom.pl/pl/oferta/mieszkanie-swietne-na-wynajem-pradnik-bialy-ID4vDQk,Mieszkanie świetne na wynajem. Prądnik Biały,499000.0,36.0,2,2008.0,"['telewizja kablowa', 'internet', 'telefon', 'monitoring / ochrona', 'piwnica', 'pom. użytkowe']","['Prądnik Biały', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.0987,19.9335,urban,floor_4,5.0,ready_to_use,secondary,full_ownership,business,otodom_photos/mieszkanie-swietne-na-wynajem-pradnik-bialy-ID4vDQk/mieszkanie-swietne-na-wynajem-pradnik-bialy-ID4vDQk_collage.jpg,2025-05-31,4.0
komfortowa-kawalerka-z-duzym-balkonem-swietna-lokalizacja-ID4vkHy,https://www.otodom.pl/pl/oferta/komfortowa-kawalerka-z-duzym-balkonem-swietna-lokalizacja-ID4vkHy,Komfortowa kawalerka z dużym balkonem - Świetna lokalizacja,529000.0,25.69,1,2016.0,"['internet', 'telewizja kablowa', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'meble', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'balkon', 'winda']","['Ruczaj', 'Dębniki', 'Kraków', 'małopolskie']",50.029852017603,19.925614804117,urban,floor_6,10.0,ready_to_use,secondary,full_ownership,private,otodom_photos/komfortowa-kawalerka-z-duzym-balkonem-swietna-lokalizacja-ID4vkHy/komfortowa-kawalerka-z-duzym-balkonem-swietna-lokalizacja-ID4vkHy_collage.jpg,2025-05-31,6.0
od-wlasciciela-rakowicka-wysoki-standard-2pok-ID4vvQh,https://www.otodom.pl/pl/oferta/od-wlasciciela-rakowicka-wysoki-standard-2pok-ID4vvQh,Od właściciela| Rakowicka | Wysoki standard |2pok.,1199000.0,50.16,2,2020.0,"['internet', 'telewizja kablowa', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'teren zamknięty', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'telewizor', 'garaż/miejsce parkingowe', 'ogródek', 'taras', 'winda', 'klimatyzacja']","['Osiedle Oficerskie', 'Grzegórzki', 'Kraków', 'małopolskie']",50.068246633348,19.955192232666,urban,ground_floor,6.0,ready_to_use,secondary,full_ownership,private,otodom_photos/od-wlasciciela-rakowicka-wysoki-standard-2pok-ID4vvQh/od-wlasciciela-rakowicka-wysoki-standard-2pok-ID4vvQh_collage.jpg,2025-05-31,-1.0
mieszkanie-2-pokoje-52m-ul-lipinskiego-balkon-ID4wVHx,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-52m-ul-lipinskiego-balkon-ID4wVHx,"Mieszkanie 2 pokoje, 52m, ul. Lipińskiego, balkon",750000.0,52.42,2,1987.0,"['domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'klimatyzacja', 'balkon', 'piwnica', 'oddzielna kuchnia']","['Ruczaj', 'Dębniki', 'Kraków', 'małopolskie']",50.0287603,19.9235892,urban,floor_3,4.0,ready_to_use,secondary,limited_ownership,private,otodom_photos/mieszkanie-2-pokoje-52m-ul-lipinskiego-balkon-ID4wVHx/mieszkanie-2-pokoje-52m-ul-lipinskiego-balkon-ID4wVHx_collage.jpg,2025-05-31,5.0
link-bunscha-ID4ua2K,https://www.otodom.pl/pl/oferta/link-bunscha-ID4ua2K,Link Bunscha,,,0,,"['Miejsce parkingowe podziemne', 'Miejsce parkingowe naziemne', 'Windy']","['Skotniki', 'Dębniki', 'Kraków', 'małopolskie']",50.016103962597,19.885244542329,,,,,primary,,business,otodom_photos/link-bunscha-ID4ua2K/link-bunscha-ID4ua2K_collage.jpg,2025-05-31,8.0
3-poziom-apartament-garaz-ogrodek-antresola-ID4vDMx,https://www.otodom.pl/pl/oferta/3-poziom-apartament-garaz-ogrodek-antresola-ID4vDMx,3-poziom. apartament| garaż| ogródek| antresola,2849000.0,198.0,6,2026.0,"['internet', 'balkon', 'garaż/miejsce parkingowe', 'oddzielna kuchnia']","['Bronowice', 'Bronowice', 'Kraków', 'małopolskie']",50.078136,19.896283,,,2.0,,primary,,business,otodom_photos/3-poziom-apartament-garaz-ogrodek-antresola-ID4vDMx/3-poziom-apartament-garaz-ogrodek-antresola-ID4vDMx_collage.jpg,2025-05-31,-1.0
3-poziom-apartament-garaz-ogrodek-antresola-ID4vDMy,https://www.otodom.pl/pl/oferta/3-poziom-apartament-garaz-ogrodek-antresola-ID4vDMy,3-poziom. apartament| garaż| ogródek| antresola,2023000.0,189.91,5,2026.0,"['internet', 'balkon', 'garaż/miejsce parkingowe', 'oddzielna kuchnia']","['Bronowice', 'Bronowice', 'Kraków', 'małopolskie']",50.078136,19.896283,,,2.0,,primary,,business,otodom_photos/3-poziom-apartament-garaz-ogrodek-antresola-ID4vDMy/3-poziom-apartament-garaz-ogrodek-antresola-ID4vDMy_collage.jpg,2025-05-31,8.0
